,synratio,morphratio,orig.uncomp,orig.comp
dutch1,0.915810083210964,-1.01908957415565,9726,4086
dutch10,0.914559125085441,-1.01606288448394,6815,2926
dutch11,0.933927245731255,-1.02524127691166,6537,2694
dutch12,0.929242949035131,-1.01335972290945,4647,2021
dutch13,0.908618449545258,-1.01299263750541,5293,2309
dutch14,0.912111017661901,-1.01934398654331,5543,2378
dutch15,0.918263473053892,-1.02245508982036,8001,3340
dutch16,0.914879356568365,-1.01407506702413,7139,2984
dutch17,0.91124871001032,-1.03766769865841,4569,1938
dutch18,0.927873429502094,-1.02885062819916,5154,2149
dutch19,0.920142421159715,-1.01627670396745,4528,1966
dutch2,0.911941716819766,-1.01171998732974,7254,3157
dutch20,0.921265920494018,-1.02084137398688,6142,2591
dutch3,0.911297852474323,-1.01711795829443,7532,3213
dutch4,0.904887328065555,-1.01229148375768,7994,3417
dutch5,0.926022913256956,-1.00425531914894,7006,3055
dutch6,0.918994413407821,-1.00931098696462,4936,2148
dutch7,0.921404162783473,-1.02609506057782,7622,3219
dutch8,0.916395575797007,-1.01496421600521,7115,3074
dutch9,0.927462602314423,-1.037538808919,8677,3543
english1,0.916726835138387,-1.03056558363418,10295,4155
english10,0.931730356376127,-1.02533276084156,5714,2329
english11,0.920529801324503,-1.01782985226694,4551,1963
english12,0.911754447157307,-1.02162539239623,6834,2867
english13,0.913282107574094,-1.02927186242225,6511,2733
english14,0.922330097087379,-1.04983818770227,7684,3090
english15,0.923984272608126,-1.02752293577982,5534,2289
english16,0.941454202077432,-1.05288007554297,5294,2118
english17,0.929068755439513,-1.0443864229765,5660,2298
english18,0.925047080979284,-1.0376647834275,6488,2655
english19,0.91588785046729,-1.03699376947041,6207,2568
english2,0.923492063492063,-1.02253968253968,7448,3150
english20,0.939696312364425,-1.04164859002169,5567,2305
english3,0.907502569373073,-1.02055498458376,6745,2919
english4,0.923297785069729,-1.02296964725185,5590,2438
english5,0.926102941176471,-1.02720588235294,6439,2720
english6,0.92872637124264,-1.0226216299969,7631,3227
english7,0.931885125184094,-1.03645066273932,6566,2716
english8,0.921262573707943,-1.04890738813736,6956,2883
english9,0.92473844076949,-1.04252446844414,7170,2963
finnish1,0.918317832591994,-1.00161746866154,5615,2473
finnish10,0.913076923076923,-1.00538461538462,6071,2600
finnish11,0.9180082366155,-1.00486709097716,6199,2671
finnish12,0.927494908350305,-1.01140529531568,5771,2455
finnish13,0.912270960577457,-1.0294280955025,4406,1801
finnish14,0.914592760180995,-1.00622171945701,3904,1768
finnish15,0.919618528610354,-0.996366939146231,4975,2202
finnish16,0.911392405063291,-1.01155751238305,4081,1817
finnish17,0.915164369034995,-1.00318133616119,6505,2829
finnish18,0.921206663665016,-1.004502476362,5169,2221
finnish19,0.905563347358579,-1.01636278634876,5021,2139
finnish2,0.908792411528639,-0.995622035753375,6209,2741
finnish20,0.912358444116199,-1.01329394387001,4757,2031
finnish3,0.912884927066451,-0.984602917341977,5553,2468
finnish4,0.918654673445444,-0.987485334376222,5699,2557
finnish5,0.905161561057491,-0.994125052454889,5323,2383
finnish6,0.91378655526016,-0.999240410178504,5917,2633
finnish7,0.919143876337693,-1,3748,1682
finnish8,0.920958512160229,-0.990343347639485,6313,2796
finnish9,0.907571288102262,-1.01229105211406,4620,2034
french1,0.918037436188315,-1.02892796369824,8247,3526
french10,0.915969199866086,-1.0187479075996,6766,2987
french11,0.91051912568306,-1.02663934426229,6693,2928
french12,0.906921241050119,-1.02903739061257,5711,2514
french13,0.923254738788719,-1.03421174294961,5172,2163
french14,0.927566440854612,-1.01146430432517,4187,1919
french15,0.917572124391158,-1.01723491944549,6024,2669
french16,0.92604501607717,-1.0123258306538,4017,1866
french17,0.916666666666667,-1.00872093023256,7066,3096
french18,0.916379310344828,-1.01853448275862,5284,2320
french19,0.923535253227408,-1.03277060575968,4561,2014
french2,0.922688545282424,-1.01798674660776,7183,3169
french20,0.934782608695652,-1.02554347826087,4114,1840
french3,0.919845992299615,-1.01785089254463,6513,2857
french4,0.919768403639371,-1.00082712985939,5225,2418
french5,0.917254901960784,-0.997254901960784,5498,2550
french6,0.917375886524823,-1.00248226950355,6168,2820
french7,0.912082514734774,-1.00834970530452,4420,2036
french8,0.919933554817276,-1.00232558139535,6672,3010
french9,0.927342256214149,-1.01720841300191,5854,2615
german1,0.913353252125948,-1.02482188002758,10530,4351
german10,0.918164435946463,-1.0321223709369,6284,2615
german11,0.918777292576419,-1.03624454148472,5480,2290
german12,0.908925979680697,-1.0366473149492,6753,2756
german13,0.917407407407407,-1.02148148148148,6312,2700
german14,0.925719591457753,-1.03505106778087,10654,4308
german15,0.9263010827803,-1.04261264407964,6949,2863
german16,0.920986622073579,-1.06061872909699,5956,2392
german17,0.932180245789713,-1.05234410559854,5544,2197
german18,0.916772554002541,-1.03684879288437,7571,3148
